link,quantity,customer_first_name,customer_last_name,customer_email,customer_email_password,birthdate,gender,cpf,cep,telephone,address_label,street_address,district,reference_point,number,complement
https://www.belezanaweb.com.br/mustela-bebe-stelaker-crosta-lactea-creme-infantil-40ml/,2,amaria,zsouza,qmaria111222@gmail.com,password321,30/03/1991,M,12528802781,46930-000,11954741101,apartamento,address,district,reference,3,complementario
https://www.belezanaweb.com.br/melora-eximia-probiac-suplemento-vitaminico-60-comprimidos/,2,amaria,zsouza,qmaria111222@gmail.com,password32,30/03/1991,M,12528802781,46930-000,11954741101,apartamento,address,district,reference,3,complementario
https://www.belezanaweb.com.br/loreal-paris-dermoexpertise-revitalift-blur-magico-primer-27g/,2,bmaria,xsouza,qmaria333@gmail.com,password3211,30/03/1992,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/maybelline-the-colossal-super-filme-volumexpress-mascara-de-cilios-9-2ml/,2,cmaria,csouza,qmaria444@gmail.com,password3212,30/03/1993,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/inoar-mask-profissional-mascara-de-tratamento-1000g/,2,dmaria,vsouza,qmaria555@gmail.com,password3213,30/03/1994,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/inoar-argan-oil-salon-duo-kit-2-produtos/,2,emaria,bsouza,qmaria666@gmail.com,password3215,30/03/1995,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/kit-felps-profissional-bamboo-salon-duo-2-produtos/,2,fmaria,snouza,qmaria777@gmail.com,password3216,30/03/1995,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/felps-profissional-xmix-bio-crescimento-extrato-de-bamboo-mascara-de-tratamento-300g/,2,gmaria,msouza,qmaria888@gmail.com,password3217,30/03/1996,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/felps-profissional-marula-hipernutricao-mascara-300g/,2,hmaria,lsouza,qmaria999@gmail.com,password3218,30/03/1997,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
https://www.belezanaweb.com.br/felps-profissional-xmix-sos-mascara-300g/,2,imaria,ksouza,qmaria101010@gmail.com,password32190,30/03/1998,M,12528802781,04267-010,11954741101,casa,address,district,reference,3,complementario
